fromNode	toNode	weight	direction	fromAltName	toAltName
MMT00001185	MMT00018085	0.0705990845935282	undirected	Nrarp	C1qr1
MMT00001185	MMT00019257	0.0653845522835786	undirected	Nrarp	Cldn5
MMT00001185	MMT00019744	0.0557764924811897	undirected	Nrarp	1300018K11Rik
MMT00001185	MMT00020088	0.0632062497605907	undirected	Nrarp	Ctla2a
MMT00001185	MMT00020374	0.062195069426895	undirected	Nrarp	Thbd
MMT00001185	MMT00021004	0.0534370575896143	undirected	Nrarp	Xbp1
MMT00001185	MMT00021643	0.082383245708559	undirected	Nrarp	Fgd5
MMT00001185	MMT00021805	0.0654853879594497	undirected	Nrarp	Igfbp7
MMT00001185	MMT00022098	0.0735581429238781	undirected	Nrarp	Bcl6b
MMT00001185	MMT00022657	0.0580784344976273	undirected	Nrarp	C8b
MMT00001185	MMT00024107	0.0661274970257833	undirected	Nrarp	5730485H21Rik
MMT00001185	MMT00024492	0.0615098579529624	undirected	Nrarp	F2r
MMT00001185	MMT00025030	0.0797227968704577	undirected	Nrarp	Inhbb
MMT00001185	MMT00025256	0.0525241377532216	undirected	Nrarp	Gmpr
MMT00001185	MMT00026028	0.0581854230565557	undirected	Nrarp	AI324046
MMT00001185	MMT00026255	0.0505844803448488	undirected	Nrarp	Tm4sf1
MMT00001185	MMT00027170	0.0626441271074224	undirected	Nrarp	NA
MMT00001185	MMT00027378	0.0553954113483157	undirected	Nrarp	Itih3
MMT00001185	MMT00028568	0.0689050336352818	undirected	Nrarp	Tfpi
MMT00001185	MMT00028861	0.0872249211815365	undirected	Nrarp	Mest
MMT00001185	MMT00028979	0.0592582610999109	undirected	Nrarp	Gja1
MMT00001185	MMT00030800	0.0764308526125832	undirected	Nrarp	Ramp2
MMT00001185	MMT00031229	0.055474355899237	undirected	Nrarp	Avpr1a
MMT00001185	MMT00031263	0.0713078773629531	undirected	Nrarp	Tuba1
MMT00001185	MMT00031650	0.0677996417320024	undirected	Nrarp	Eml1
MMT00001185	MMT00031751	0.0518713302949931	undirected	Nrarp	Rasip1
